"sys_proc_exit","FFE000"
"sys_int_enable_all","FFE004"
"sys_int_disable_all","FFE008"
"sys_int_restore_all","FFE00C"
"sys_int_disable","FFE010"
"sys_int_enable","FFE014"
"sys_int_register","FFE018"
"sys_int_pending","FFE01C"
"sys_get_info","FFE020"
"sys_int_clear","FFE024"
"sys_chan_read_b","FFE028"
"sys_chan_read","FFE02C"
"sys_chan_readline","FFE030"
"sys_chan_write_b","FFE034"
"sys_chan_write","FFE038"
"sys_chan_status","FFE03C"
"sys_chan_flush","FFE040"
"sys_chan_seek","FFE044"
"sys_chan_ioctrl","FFE048"
"sys_chan_open","FFE04C"
"sys_chan_close","FFE050"
"sys_chan_swap","FFE054"
"sys_chan_device","FFE058"
"sys_cdev_register","FFE05C"
"sys_bdev_register","FFE060"
"sys_bdev_read","FFE064"
"sys_bdev_write","FFE068"
"sys_bdev_status","FFE06C"
"sys_bdev_flush","FFE070"
"sys_bdev_ioctrl","FFE074"
"sys_fsys_open","FFE078"
"sys_fsys_close","FFE07C"
"sys_fsys_opendir","FFE080"
"sys_fsys_closedir","FFE084"
"sys_fsys_readdir","FFE088"
"sys_fsys_findfirst","FFE08C"
"sys_fsys_findnext","FFE090"
"sys_fsys_get_label","FFE094"
"sys_fsys_set_label","FFE098"
"sys_fsys_mkdir","FFE09C"
"sys_fsys_delete","FFE0A0"
"sys_fsys_rename","FFE0A4"
"sys_fsys_set_cwd","FFE0A8"
"sys_fsys_get_cwd","FFE0AC"
"sys_fsys_load","FFE0B0"
"sys_fsys_register_loader","FFE0B4"
"sys_fsys_stat","FFE0B8"
"sys_mem_get_ramtop","FFE0BC"
"sys_mem_reserve","FFE0C0"
"sys_time_jiffies","FFE0C4"
"sys_rtc_set_time","FFE0C8"
"sys_rtc_get_time","FFE0CC"
"sys_kbd_scancode","FFE0D0"
"sys_err_message","FFE0D4"
"sys_kbd_layout","FFE0D8"
"sys_proc_run","FFE0DC"
"sys_txt_get_capabilities","FFE0E0"
"sys_txt_set_mode","FFE0E4"
"sys_txt_set_resolution","FFE0E8"
"sys_txt_setsizes","FFE0EC"
"sys_txt_set_xy","FFE0F0"
"sys_txt_get_xy","FFE0F4"
"sys_txt_get_region","FFE0F8"
"sys_txt_set_region","FFE0FC"
"sys_txt_set_color","FFE100"
"sys_txt_get_color","FFE104"
"sys_txt_set_cursor","FFE108"
"sys_txt_set_cursor_visible","FFE10C"
"sys_txt_set_font","FFE110"
"sys_txt_get_sizes","FFE114"
"sys_txt_set_border","FFE118"
"sys_txt_set_border_color","FFE11C"
"sys_txt_put","FFE120"
"sys_txt_print","FFE124"
